'goals','hat_y_g','hat_y_xG'
0.0,1.86799,1.3
1.0,1.61350,1.5
2.0,1.39000,1.1
0.0,1.42098,1.9
3.0,1.81550,2.4
0.0,1.9735,1.9
0.0,1.285,1.0
0.0,1.074,0.9
2.0,0.97099,1.2
0.0,1.207,1.5
1.0,1.66000,1.7
4.0,1.8855,1.0
1.0,1.472,1.7
2.0,1.15649,1.5
1.0,1.396,1.4
3.0,1.488,2.5
0.0,1.0185,1.4
1.0,1.67597,2.1
2.0,1.3865,1.6
1.0,1.49400,0.8
1.0,1.54149,1.8
1.0,1.9055,2.6
1.0,1.254,1.2
2.0,1.543,0.9
3.0,1.24949,1.9
2.0,1.60250,1.9
1.0,1.48499,1.7
1.0,1.4015,1.6
2.0,1.458,1.8
2.0,1.4915,1.9
2.0,1.33550,1.2
0.0,1.351,1.5
3.0,1.62750,2.1
1.0,1.517,1.0
1.0,2.04750,2.1
3.0,1.87049,2.4
1.0,2.04750,2.8
1.0,0.85749,1.0
3.0,1.94450,2.2
0.0,1.2205,1.7
2.0,1.5065,1.4
1.0,1.3315,1.2
0.0,1.63200,2.1
1.0,1.61,1.8
1.0,1.3795,1.8
2.0,1.225,1.0
0.0,2.1155,2.2
6.0,3.168,3.6
3.0,1.32100,0.5
0.0,2.179,1.6
2.0,1.5025,1.7
1.0,1.4775,1.7
2.0,1.51149,1.3
3.0,1.2645,1.6
4.0,2.677,2.4
3.0,1.54949,1.9
0.0,1.372,1.3
1.0,1.165,0.8
0.0,1.0905,1.4
1.0,1.361,1.7
2.0,1.972,2.1
3.0,1.80497,2.0
1.0,1.543,1.4
3.0,1.7465,1.2
2.0,1.3495,1.8
1.0,1.38350,1.9
3.0,2.238,2.5
3.0,1.5275,1.6
0.0,1.223,1.5
4.0,1.86999,1.8
0.0,1.4795,1.6
1.0,1.298,1.5
0.0,1.82250,1.8
2.0,1.489,2.2
1.0,1.2475,1.2
0.0,2.823,3.3
1.0,1.72699,1.1
2.0,2.23598,2.1
2.0,1.802,1.4
4.0,1.274,1.3
1.0,1.2615,1.6
2.0,0.82100,1.2
1.0,2.0085,1.8
3.0,1.80500,1.3
0.0,1.07350,1.5
2.0,1.561,1.4
2.0,1.2985,1.4
2.0,2.059,2.3
2.0,1.455,1.1
1.0,1.089,0.9
2.0,1.49250,2.2
2.0,1.969,2.0
1.0,1.3025,1.6
2.0,1.4905,2.2
2.0,1.63200,1.5
1.0,1.22299,2.1
1.0,2.279,2.4
1.0,1.4455,1.8
2.0,1.073,1.0
1.0,0.98150,0.4
3.0,1.6575,1.8
3.0,1.432,2.1
1.0,1.4805,1.1
2.0,1.4265,0.9
2.0,1.47,2.6
